Tanggal,Inflow,Outflow,Galungan,Idul Fitri,Nyepi,SP,Bulan
11-Jan,463494,177048,0,0,0,0,1
11-Feb,401271,353182,0,0,8,0,2
11-Mar,531832,580844,0,0,6,0,3
11-Apr,430927,662005,0,0,0,7,4
11-May,474448,652356,0,0,0,0,5
11-Jun,393347,852018,12,0,0,0,6
11-Jul,585286,745902,16,0,0,0,7
11-Aug,328008,1888160,0,22,0,0,8
11-Sep,1434021,458376,0,6,0,0,9
11-Oct,522305,608869,0,0,0,0,10
11-Nov,515895,572378,0,0,0,7,11
11-Dec,313515,1360662,0,0,0,0,12
12-Jan,762493,451042,17,0,0,0,1
12-Feb,914660,341392,11,0,0,0,2
12-Mar,603756,830243,0,0,14,0,3
12-Apr,585881,688713,0,0,0,0,4
12-May,728347,904201,0,0,0,0,5
12-Jun,587198,1196882,0,0,0,7,6
12-Jul,596798,840915,0,3,0,0,7
12-Aug,663438,1896554,20,25,0,0,8
12-Sep,871173,387914,8,0,0,0,9
12-Oct,622053,772627,0,0,0,0,10
12-Nov,802973,857067,0,0,0,0,11
12-Dec,404706,1612139,0,0,0,0,12
13-Jan,1548758,116346,0,0,0,7,1
13-Feb,724834,569057,0,0,1,0,2
13-Mar,632427,1594141,22,0,13,0,3
13-Apr,1160039,417249,6,0,0,0,4
13-May,714103,1045963,0,0,0,0,5
13-Jun,628709,1004926,0,0,0,0,6
13-Jul,666159,1473210,0,14,0,0,7
13-Aug,1389624,1758548,0,14,0,7,8
13-Sep,741637,922709,0,0,0,0,9
13-Oct,620508,929811,26,0,0,0,10
13-Nov,1035421,804413,2,0,0,0,11
13-Dec,537774,1760051,0,0,0,0,12
14-Jan,1580201,539792,0,0,0,0,1
14-Feb,1062124,545373,0,0,0,0,2
14-Mar,689119,1297235,0,0,13,7,3
14-Apr,989931,706540,0,0,1,0,4
14-May,589624,1253956,28,0,0,0,5
14-Jun,1027545,708637,0,0,0,0,6
14-Jul,499798,2669935,0,24,0,0,7
14-Aug,1880504,733769,0,4,0,0,8
14-Sep,878820,1017975,0,0,0,0,9
14-Oct,894885,1149326,0,0,0,7,10
14-Nov,995447,770140,1,0,0,0,11
14-Dec,501960,1710937,27,0,0,0,12
15-Jan,2142302,448787,0,0,0,0,1
15-Feb,977623,824469,0,0,0,0,2
15-Mar,965673,816207,0,0,14,0,3
15-Apr,1078286,1369167,0,0,0,1,4
15-May,916619,887811,0,0,0,6,5
15-Jun,815523,1207460,3,4,0,0,6
15-Jul,1816122,2976886,25,24,0,0,7
15-Aug,1003757,953146,0,0,0,0,8
15-Sep,849184,968630,0,0,0,0,9
15-Oct,865926,898484,0,0,0,0,10
15-Nov,975217,948154,0,0,0,5,11
15-Dec,665419,2171439,0,0,0,2,12
16-Jan,2074503,467613,8,0,0,0,1
16-Feb,1651815,1284039,20,0,4,0,2
16-Mar,1349241,1185719,0,0,10,0,3
16-Apr,1088347,1072467,0,0,0,0,4
16-May,1353816,1332924,0,0,0,0,5
16-Jun,952591,2701599,0,15,0,7,6
16-Jul,2201824,1644170,0,13,0,0,7
16-Aug,1280533,1701470,11,0,0,0,8
16-Sep,1804249,1780981,17,0,0,0,9
16-Oct,1450342,1467690,0,0,0,0,10
16-Nov,1467487,1337692,0,0,0,0,11
16-Dec,1238954,2163224,0,0,0,0,12
17-Jan,2052490,664224,0,0,0,7,1
17-Feb,1421019,940126,0,0,0,0,2
17-Mar,1101715,2369521,13,0,14,0,3
17-Apr,1574501,911877,15,0,0,0,4
17-May,1468280,1340866,0,0,0,0,5
17-Jun,832971,3569264,0,28,0,0,6
17-Jul,2545409,781438,0,0,0,0,7
17-Aug,1177318,1801478,0,0,0,7,8
17-Sep,1206451,1017944,0,0,0,0,9
17-Oct,1048498,1565914,17,0,0,0,10
17-Nov,1787167,1111984,11,0,0,0,11
17-Dec,746288,1747078,0,0,0,0,12
18-Jan,2241563,441305,0,0,0,0,1
18-Feb,1242840,1156299,0,0,0,0,2
18-Mar,1018004,1850518,0,0,14,7,3
18-Apr,1503677,1272789,0,0,0,0,4
18-May,850029,2789956,19,7,0,0,5
18-Jun,2853158,2495678,9,21,0,0,6
18-Jul,1575913,1240037,0,0,0,0,7
18-Aug,1537060,1945239,0,0,0,0,8
18-Sep,1540617,1559463,0,0,0,0,9
18-Oct,1925819,1420029,0,0,0,7,10
18-Nov,1558490,1240506,0,0,0,0,11
18-Dec,675762,3042895,23,0,0,0,12
19-Jan,3472271,362282,5,0,0,0,1
19-Feb,1615987,1287582,0,0,6,0,2
19-Mar,1701099,2032198,0,0,8,0,3
